Stage 1 Name,Stage 1 Objective,Stage 2 Name,Stage 2 Objective,Classification
Engineer a Marvel,Have your flagship or war sun in a system that is not in or adjacent to your home system.,Achieve Supremacy,Have your flagship or war sun in another player's home system or the Mecatol Rex system.,Military
Spread the Sphere,Control at least 1 planet in each of 4 systems.,Dominate the Sphere,Control at least 1 planet in each of 7 systems.,Control
Unify Distant Land,Control 2 planets with the same trait that are not in or adjacent to your home system.,Annex Their Worlds,Control 4 planets with the same trait that are not in or adjacent to your home system.,Control
Raise an Army,"Have 15 non-infantry, non-fighter units on the game board.",Assert Military Dominance,"Have 25 non-infantry, non-fighter units on the game board.",Military
Make History,"Have units in 2 systems that contain legendary planets, Mecatol Rex, or anomalies.",Become a Legend,"Have units in 4 systems that contain legendary planets, Mecatol Rex, or anomalies.",Control
Command Many Fleets,Have 3 non-fighter ships in each of 3 systems.,Become a Master of Ships,Have 3 non-fighter ships in each of 5 systems.,Military
Lead on Two Fronts,Control 3 planets of a trait and 2 planets of another trait.,Brave Two Frontiers,Control 4 planets of each of 2 different traits.,Control
Negotiate Trade Routes,Spend 5 trade goods.,Centralize Galactic Trade,Spend 10 trade goods.,Economy
Intimidate Their Home,Have at least 8 units in or adjacent to other players home systems.,Closely Monitor Rivals,Have at least 15 units in or adjacent to other players' home systems.,Military
Raise a Fleet,Have 5 or more non-fighter ships in 1 system.,Command an Armada,Have 8 or more non-fighter ships in 1 system.,Military
Intimidate the Council,Have 1 or more ships in 2 systems that are adjacent to Mecatol Rex.,Conquer the Weak,Control 1 planet that is in another player's home system.,Control
Build Defenses,Have 4 or more structures.,Construct Massive Cities,Have 7 or more structures.,Structures
Infrastructure Expansion,Have 2 structures on the game board that are not in or adjacent to your home system.,Control Distant Outposts,Have 3 structures on the game board that are not in or adjacent to your home system.,Structures
Populate the Outer Rim,Have units in 3 systems on the edge of the game board other than your home system.,Control the Borderlands,Have units in 5 systems on the edge of the game board other than your home system.,Control
Coordinate Colonies,Control 2 planets outside your home system that are not adjacent to each other.,Coordinate an Empire,Control 4 planets outside your home system that are not adjacent to each other.,Control
Coordinate Forces,Have 10 units in each of 2 systems.,Coordinate Large Armies,Have at least 15 units in each of 3 systems.,Military
Intimidate Distant Worlds,Have units in each of 3 systems that are not in or adjacent to your home system.,Dominate Foreign Space,Have units in each of 5 systems that are not in or adjacent your home system.,Control
Divide Research Efforts,Own 2 technologies in each of 2 colors and control at least 1 technology specialty of each of those colors.,Dominate Multiple Disciplines,Own 4 technologies in each of 2 colors and control at least 1 technology specialty of each of those colors.,Technology
Mobilize Forces,Have more units in or adjacent to the Mecatol Rex system than each of 2 players that are your neighbor.,Dominate the Seat of Power,Have 25 units in or adjacent to the Mecatol Rex system.,Military
Diversify Production,Have 2 of each of 5 different units on the game board.,Engineer Military Might,Have 4 of each of 6 different units on the game board.,Military
Erect a Monument,Spend 8 resources.,Found a Golden Age,Spend 16 resources.,Economy
Lead from the Front,Spend a total of 3 tokens from your tactic and/or strategy pools.,Galvanize the People,Spend a total of 6 tokens from your tactic and/or strategy pools.,Economy
Amass Wealth,"Spend 3 influence, 3 resources, and 3 trade goods.",Hold Vast Reserves,"Spend 6 influence, 6 resources, and 6 trade goods.",Economy
Declare Festival,Exhaust 3 planets you control outside of your home system.,Initiate Galactic Celebrations,Exhaust 5 planets you control outside of your home system.,Economy
Invest in the Future,Exhaust 1 planet in each of 3 different systems.,Invest in an Empire,Exhaust 1 planet in each of 5 different systems.,Economy
Sway the Council,Spend 8 influence.,Manipulate Galactic Law,Spend 16 influence.,Economy
Diversify Research,Own 1 technology in each of 4 colors.,Master of Sciences,Own 2 technologies in each of 4 colors.,Technology
Explore Deep Space,Have units in 3 systems that do not contain planets.,Patrol Vast Territories,Have units in 5 systems that do not contain planets.,Control
Improve Infrastructure,Have structures on 3 planets outside of your home system.,Protect the Border,Have structures on 5 planets outside of your home system.,Structures
Discover Lost Outposts,Control 2 planets that have attachments.,Reclaim Ancient Monuments,Control 3 planets that have attachments.,Control
Develop Weaponry,Own 2 unit upgrade technologies and have at least 2 of each of those units on the game board.,Revolutionize Warfare,Own 3 unit upgrade technologies and have at least 2 of each of those units on the game board.,Technology
Push Boundaries,Control more planets than each of 2 of your neighbors.,Rule Distant Lands,"Control 2 planets that are each in or adjacent to a different, other player's home system.",Control
Expand Borders,Control 6 planets in non-home systems.,Subdue the Galaxy,Control 10 planets in non-home systems.,Control
Corner the Market,Control 4 planets that each have the same planet trait.,Unify the Colonies,Control 6 planets that each have the same planet trait.,Control
Hold Key Planets,Control 2 planets with at least 5 combined influence and resources.,Subjugate Critical Planets,Control 4 planets with at least 5 combined influence and resources.,Control
Specialize Designs,Control a technology specialty planet matching each prerequisite for a unit upgrade technology you own.,Master the Design Space,Control a technology specialty planet matching each prerequisite for 2 unit upgrade technologies you own.,Technology
Specialize Armies,Have none of a unit type in your reinforcements while owning that unit's unit upgrade technology.,Push Design Boundaries,Have none of each of 2 unit types in your reinforcements while owning those unit's unit upgrade technologies.,Technology
Seize the Wealth,Control planets with more combined resources than each of 2 players that are your neighbors.,Usurp Their Resources,Control planets in or adjacent to other players home systems with a combine resource value of at least 5.,Control
Control the Culture,Control planets with more combined influence than each of 2 players that are your neighbors.,Bend Their Will,Control planets in or adjacent to other players' home systems with a combine influence value of at least 5.,Control
Demonstrate Power,Have at least 1 ship with a cost of 4 or more in each of 3 systems.,Elegant Engineering,Have at least 1 shps with a cost of 4 or more in each of 5 systems.,Military