Stage 1 Name,Stage 1 Objective,Stage 2 Name,Stage 2 Objective,Classification,Phase
Activate Fleets,Have a command token in each of 5 systems that contain your ships.,Activate Armada,Have a command token in each of 8 systems that contain your ships.,Control,Status
Advanced Technologies,Own 3 technologies with at least 2 prerequisites.,Research Mastery,Own 5 technologies with at least 2 prerequisites.,Technology,Status
Amass Wealth,"Spend 3 influence, 3 resources, and 3 trade goods.",Hold Vast Reserves,"Spend 6 influence, 6 resources, and 6 trade goods.",Economy,Status
Begin The Arms Race,Have 4 ships with a cost of at least 2 in each of 2 systems.,Lead The Arms Race,Have 4 ships with a cost of at least 2 in each of 4 systems.,Military,Status
Build Defenses,Have 4 or more structures.,Construct Massive Cities,Have 7 or more structures.,Structures,Status
Centralize Research,Own 2 technologies of a color and have a structure on a technology specialty planet of that color in a system not adjacent to your home system.,Mandate Imperial Research,Own 2 technologies of 2 colors and have a structure on technology specialty planets of those colors in system(s) not adjacent to your home system.,Technology,Status
Command Many Fleets,Have 3 non-fighter ships in each of 3 systems.,Become a Master of Ships,Have 3 non-fighter ships in each of 5 systems.,Military,Status
Control the Culture,Control planets with more combined influence than each of 2 players that are your neighbors.,Bend Their Will,Control planets in or adjacent to other players' home systems with a combine influence value of at least 5.,Control,Status
Coordinate Colonies,Control 2 planets outside your home system that are not adjacent to each other.,Coordinate an Empire,Control 4 planets outside your home system that are not adjacent to each other.,Control,Status
Coordinate Forces,Have 10 units in each of 2 systems.,Coordinate Large Armies,Have at least 15 units in each of 3 systems.,Military,Status
Corner the Market,Control 4 planets that each have the same planet trait.,Unify the Colonies,Control 6 planets that each have the same planet trait.,Control,Status
Declare Festival,Exhaust 3 planets you control outside of your home system.,Galactic Celebrations,Exhaust 5 planets you control outside of your home system.,Economy,Status
Defend Research Outposts,Have a structure on each of 2 planets you control with different technology specialties.,Monopolize Research,Have a structure on each of 3 planets you control with different technology specialties.,Structures,Status
Demonstrate Power,Have at least 1 ship with a cost of 4 or more in each of 3 systems.,Elegant Engineering,Have at least 1 shps with a cost of 4 or more in each of 5 systems.,Military,Status
Deploy Troops,Have ground forces with a combined cost of at least 3 resources on each of 4 planets; infantry count as half a resource.,Deploy Elite Troops,Have ground forces with a combined cost of at least 3 resources on each of 7 planets; infantry count as half a resource.,Military,Status
Develop Weaponry,Own 2 unit upgrade technologies and have at least 2 of each of those units on the game board.,Revolutionize Warfare,Own 3 unit upgrade technologies and have at least 2 of each of those units on the game board.,Technology,Status
Discover Lost Outposts,Control 2 planets that have attachments.,Reclaim Ancient Monuments,Control 3 planets that have attachments.,Control,Status
Diversify Interests,Have a structure on a planet of each of 3 different traits.,Defend Diverse Interests,Have 2 structures on planets of each of 3 different traits.,Structures,Status
Diversify Production,Have 2 of each of 5 different units on the game board.,Engineer Military Might,Have 4 of each of 6 different units on the game board.,Military,Status
Diversify Research,"Own 1 technology of each color, not including technologies you owned at the start of the game.",Master of Sciences,"Own 2 technologies of each color, not including technologies you owned at the start of the game.",Technology,Status
Divide Research Efforts,Own 2 technologies in each of 2 colors and control at least 1 technology specialty of each of those colors.,Dominate Specializations,Own 4 technologies in each of 2 colors and control at least 1 technology specialty of each of those colors.,Technology,Status
Encircle the Enemy,Control 3 planets adjacent to a system containing a planet controlled by another player.,Encircle the Empire,Control 5 planets adjacent to a system containing a planet controlled by another player.,Control,Status
Engineer a Marvel,"Have your flagship or war sun in a system that is not in or adjacent to your home system, ignoring wormhole adjacency.",Achieve Supremacy,Have your flagship or war sun in another player's home system or the Mecatol Rex system.,Military,Status
Erect a Monument,Spend 8 resources.,Found a Golden Age,Spend 16 resources.,Economy,Status
Expand Borders,Control 6 planets in non-home systems.,Subdue the Galaxy,Control 10 planets in non-home systems.,Control,Status
Expand Knowledge,Own technologies with a combined 5 prerequisites,Shatter Frontiers,Own technologies with a combined 10 prerequisites.,Technology,Status
Explore Deep Space,Have units in 3 systems that do not contain planets.,Patrol Vast Territories,Have units in 5 systems that do not contain planets.,Control,Status
Hold Divergent Interests,"Control a planet of each trait, a planet with an attachment, and 2 planets with different technology specialties.",Dominate Divergent Worlds,"Control 2 planets of each trait, 2 planets with an attachment, and 3 planets with different a technology specialties.",Control,Status
Hold Key Planets,Control 3 planets with at least 4 combined influence and resources.,Subjugate Critical Planets,Control 4 planets with at least 5 combined influence and resources.,Control,Status
Improve Infrastructure,Have structures on 3 planets outside of your home system.,Protect the Border,Have structures on 5 planets outside of your home system.,Structures,Status
Influential Dominion,Control 3 planets with at least 3 influence.,Influential Empire,Control 5 planets with at least 3 influence.,Control,Status
Infrastructure Expansion,Have 2 structures on the game board that are not in or adjacent to your home system.,Control Distant Outposts,Have 3 structures on the game board that are not in or adjacent to your home system.,Structures,Status
Infrastructure Specialization,Have a structure on 2 different planets of the same trait.,Advanced Infrastructure,Have a structure on 4 different planets of the same trait.,Structures,Status
Intimidate Distant Worlds,Have units in each of 3 systems that are not in or adjacent to your home system.,Dominate Foreign Space,Have units in each of 5 systems that are not in or adjacent your home system.,Control,Status
Intimidate the Council,Have 1 or more ships in 2 systems that are adjacent to Mecatol Rex.,Conquer the Weak,Control 1 planet that is in another player's home system.,Control,Status
Intimidate Their Home,Have at least 8 units in or adjacent to other players home systems.,Closely Monitor Rivals,Have at least 15 units in or adjacent to other players' home systems.,Military,Status
Invest in the Future,Exhaust 1 planet in each of 3 different systems.,Invest in an Empire,Exhaust 1 planet in each of 5 different systems.,Economy,Status
Lead from the Front,Spend a total of 3 tokens from your tactic and/or strategy pools.,Galvanize the People,Spend a total of 6 tokens from your tactic and/or strategy pools.,Economy,Status
Lead on Two Fronts,Control 3 planets of a trait and 2 planets of another trait.,Brave Two Frontiers,Control 4 planets of each of 2 different traits.,Control,Status
Make History,"Have units in 2 systems that contain legendary planets, Mecatol Rex, or anomalies.",Become a Legend,"Have units in 4 systems that contain legendary planets, Mecatol Rex, or anomalies.",Control,Status
Mobilize Forces,Have more units in or adjacent to the Mecatol Rex system than each of 2 players that are your neighbor.,Dominate the Seat of Power,Have 25 units in or adjacent to the Mecatol Rex system.,Military,Status
Mobilize Strike Forces,"Have 3 non-fighter, non-infantry units of the same type in each of 4 systems.",Mobilize Assault Squads,"Have 3 non-fighter, non-infantry units of the same type in each of 6 systems.",Military,Status
Negotiate Trade Routes,Spend 5 trade goods.,Centralize Galactic Trade,Spend 10 trade goods.,Economy,Status
Patrol Disputed Territory,Have units in each of 5 systems that are in or adjacent to other players' units or planets.,Usurp Disputed Space,Have units in each of 9 systems that are in or adjacent to other players' units or planets.,Control,Status
Populate the Outer Rim,Have units in 3 systems on the edge of the game board other than your home system.,Control the Borderlands,Have units in 5 systems on the edge of the game board other than your home system.,Control,Status
Power Cities,Exhaust 3 planets that contain your structures.,Power an Empire,Exhaust 5 planets that contain your structures.,Economy,Status
Push Boundaries,Control more planets than each of 2 of your neighbors.,Rule Distant Lands,"Control 2 planets that are each in or adjacent to a different, other player's home system.",Control,Status
Raise a Fleet,Have 5 or more non-fighter ships in 1 system.,Command an Armada,Have 8 or more non-fighter ships in 1 system.,Military,Status
Raise an Army,"Have 15 non-infantry, non-fighter units on the game board.",Assert Military Dominance,"Have 25 non-infantry, non-fighter units on the game board.",Military,Status
Resourceful Holdings,Control 3 planets with at least 3 resources.,Resource Dominion,Control 5 planets with at least 3 resources.,Control,Status
Seize the Wealth,Control planets with more combined resources than each of 2 players that are your neighbors.,Usurp Their Resources,Control planets in or adjacent to other players home systems with a combine resource value of at least 5.,Control,Status
Specialize Armies,Have none of a unit type in your reinforcements while owning that unit's unit upgrade technology.,Push Design Boundaries,Have none of each of 2 unit types in your reinforcements while owning those unit's unit upgrade technologies.,Technology,Status
Specialize Designs,Control a technology specialty planet matching each prerequisite for a unit upgrade technology you own.,Master the Design Space,Control a technology specialty planet matching each prerequisite for 2 unit upgrade technologies you own.,Technology,Status
Specialize Forces,"Have a mech, flagship, or upgraded faction specific unit in each of 3 systems adjacent to other players units or planets.",Press Advantages,"Have a mech, flagship, or upgraded faction specific unit in each of 5 systems adjacent to other players units or planets.",Military,Status
Spread the Sphere,Control at least 1 planet in each of 4 systems.,Dominate the Sphere,Control at least 1 planet in each of 7 systems.,Control,Status
Spread Vessels of War,Have a ship with a cost of at least 3 in each of 4 systems. ,Proliferate Warships,Have a ship with a cost of at least 3 in each of 7 systems.,Control,Status
Steer Market Forces,"Spend 10 influence, resources, or a mix thereof.",Shatter Markets,"Spend 20 influence, resources, or a mix thereof.",Economy,Status
Strategic Exhaustion,Exhaust 2 planets outside your home system each with at least a combined 4 influence and resources.,Dominate Great Worlds,Exhaust 3 planets outside your home system each with at least a combined 4 influence and resources.,Economy,Status
Strategic Presence,"Have a ship in each of 4 systems that contain or are adjacent to another player's home system, Mecatol Rex, or a legendary planet.",Dominant Fleet Presence,"Have a ship in each of 7 systems that contain or are adjacent to another player's home system, Mecatol Rex, or a legendary planet.",Control,Status
Strengthen Claim,"Control 4 planets that are legendary, Mecatol Rex, in other players home systems, or adjacent to any of the aforementioned planet types.",Claim Supremacy,"Control 7 planets that are legendary, Mecatol Rex, in other players home systems, or adjacent to any of the aforementioned planet types.",Control,Status
Study Beyond Spacetime,Have a ship in each of 4 systems that contain or are adjacent to a wormhole or gravity rift.,Defy Physical Limits,Have a ship in each of 7 systems that contain or are adjacent to a wormhole or gravity rift.,Control,Status
Sway the Council,Spend 8 influence.,Manipulate Galactic Law,Spend 16 influence.,Economy,Status
Technological Triumph,"Own 2 technologies of a color, a technology specialty planet of that color, and a unit upgrade with a prerequisite of that color.",Master Technologist,"Own 4 technologies of a color, 2 technology specialty planets of that color, and a unit upgrade with a prerequisite of that color.",Technology,Status
Unify Distant Land,Control 2 planets with the same trait that are not in or adjacent to your home system.,Annex Their Worlds,Control 4 planets with the same trait that are not in or adjacent to your home system.,Control,Status
Unit Specialization,Have none of 3 different unit types in your reinforcements.,Unit Mastery,Have none of 5 different unit types in your reinforcements.,Military,Status